date,fwd_ret,equity,drawdown
2024-01-01,0.00396,1.00396,0.0
2024-01-29,0.00995,1.013949402,0.0
2024-02-26,0.009675,1.02375936246435,0.0
2024-03-25,0.01253,1.0365870672760282,0.0
2024-04-22,0.01605,1.0532242897058084,0.0
2024-05-20,0.01873,1.072951180651998,0.0
2024-06-17,0.01047,1.0841849795134244,0.0
2024-07-15,0.011295,1.0964308488570287,0.0
2024-08-12,0.012799999999999999,1.1104651637223986,0.0
2024-09-09,0.011455,1.1231855421728387,0.0
2024-10-07,0.009309999999999999,1.1336423995704679,0.0
2024-11-04,0.021195,1.157669950229364,0.0
2024-12-02,0.011125000000000001,1.1705490284256657,0.0
2024-12-30,0.007585000000000001,1.1794276428062742,0.0
2025-01-27,0.011955,1.1935277002760232,0.0
2025-02-24,0.01796,1.2149634577729804,0.0
2025-03-24,0.01575,1.2340991322329047,0.0
2025-04-21,0.01355,1.2508211754746605,0.0
2025-05-19,0.02231,1.2787269958995002,0.0
2025-06-16,0.018315,1.3021468808293997,0.0
2025-07-14,0.01299,1.3190617688113737,0.0
2025-08-11,0.02007,1.345535338511418,0.0
2025-09-08,0.016995,1.3684027115894195,0.0
2025-10-06,0.017654999999999997,1.3925618614625306,0.0
2025-11-03,0.009195,1.4053664677786786,0.0
2025-12-01,0.011235,1.4211557600441722,0.0
2025-12-29,0.02492,1.456570961584473,0.0
